Word,Frequency
waste,59
trash,18
collection,9
overflow,8
data,6
staff,6
housekeepers,6
construction,5
pickup,5
bins,4
students,4
process,4
round,4
complaints,4
management,4
maids,4
units,3
unit,3
university,3
points,3
personnel,3
problems,3
residue,3
cage,3
offices,2
money,2
transfer,2
revenue,2
separation,2
ewaste,2
mirror,2
foundation,2
team,2
number,2
sorters,2
morning,2
time,2
committee,2
presence,2
rounds,2
faculties,2
coordinator,2
volume,2
sports,2
events,2
collectors,2
student,2
activities,2
night,2
food,2
office,2
lab,2
regulations,2
system,2
weighing,2
design,2
equipment,2
facility,1
finance,1
division,1
n15,1
covid19,1
situation,1
activity,1
hours,1
computers,1
tree,1
debris,1
fertilizer,1
garden,1
completion,1
compression,1
bma,1
sorting,1
insufficiency,1
iron,1
cement,1
transport,1
types,1
piles,1
departments,1
moss,1
date,1
wood,1
plywood,1
transportation,1
landfill,1
shop,1
space,1
recycle,1
front,1
buildings,1
errors,1
reduction,1
discrepancy,1
president,1
amounts,1
accumulation,1
rats,1
ants,1
pests,1
chemical,1
spills,1
injury,1
efficiency,1
policy,1
state,1
cost,1
behavior,1
weight,1
discrepancies,1
cans,1
mechanisms,1
mood,1
truck,1
numbers,1
inaccuracy,1
interviewer,1
market,1
school,1
14story,1
hotel,1
building,1
difficulty,1
cleaners,1
budget,1
garbage,1
handling,1
damage,1
volunteers,1
people,1
instructions,1
quantity,1
convenience,1
dumping,1
